ROUTE ID,DIRECTION,TRIP ID,TRAIN ID,UNIX DATETIME,DATE TIME,STOP ID,STOP NAME,UPDATE TYPE
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049227,2024-02-27 10:53:47,R17N,34 St - Herald Sq,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049228,2024-02-27 10:53:48,D34N,Avenue M,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709049252,2024-02-27 10:54:12,D27N,Parkside Av,4
Q,N,058900_Q..N16R,1Q 0949 STL/962,1709049252,2024-02-27 10:54:12,Q03N,72 St,4
Q,N,059750_Q..N16R,1Q 0957+ STL/962,1709049275,2024-02-27 10:54:35,R14N,57 St - 7 Av,4
Q,N,062100_Q..N16R,1Q 1021 STL/962,1709049275,2024-02-27 10:54:35,R30N,DeKalb Av,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049322,2024-02-27 10:55:22,R16N,Times Sq - 42 St,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049322,2024-02-27 10:55:22,D40N,Brighton Beach,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049322,2024-02-27 10:55:22,D37N,Avenue U,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049332,2024-02-27 10:55:32,D33N,Avenue J,4
Q,N,058900_Q..N16R,1Q 0949 STL/962,1709049357,2024-02-27 10:55:57,Q04N,86 St,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709049372,2024-02-27 10:56:12,R20N,14 St - Union Sq,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709049407,2024-02-27 10:56:47,D26N,Prospect Park,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049432,2024-02-27 10:57:12,D32N,Avenue H,4
Q,N,059750_Q..N16R,1Q 0957+ STL/962,1709049455,2024-02-27 10:57:35,B08N,Lexington Av/63 St,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049480,2024-02-27 10:58:00,D39N,Sheepshead Bay,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049480,2024-02-27 10:58:00,R14N,57 St - 7 Av,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049480,2024-02-27 10:58:00,D35N,Kings Hwy,4
Q,N,058900_Q..N16R,1Q 0949 STL/962,1709049492,2024-02-27 10:58:12,Q05N,96 St,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049515,2024-02-27 10:58:35,D31N,Newkirk Plaza,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709049535,2024-02-27 10:58:55,R17N,34 St - Herald Sq,4
Q,N,065100_Q..N16R,1Q 1051 STL/962,1709049560,2024-02-27 10:59:20,D38N,Neck Rd,4
Q,N,062950_Q..N16R,1Q 1029+ STL/962,1709049562,2024-02-27 10:59:22,D25N,7 Av,4
Q,N,059750_Q..N16R,1Q 0957+ STL/962,1709049562,2024-02-27 10:59:22,Q03N,72 St,4
Q,N,064550_Q..N16R,1Q 1045+ STL/962,1709049562,2024-02-27 10:59:22,D34N,Avenue M,4
Q,N,063750_Q..N16R,1Q 1037+ STL/962,1709049612,2024-02-27 11:00:12,D30N,Cortelyou Rd,4
Q,N,061100_Q..N16R,1Q 1011 STL/962,1709049647,2024-02-27 11:00:47,R16N,Times Sq - 42 St,4
Q,N,060550_Q..N16R,1Q 1005+ STL/962,1709049648,2024-02-27 11:00:48,B08N,Lexington Av/63 St,4
