time_value,dep_count,arr_count,value,dep_value,arr_value
19:20:00,84,73,157,0.535031847133758,0.46496815286624205
19:30:00,68,73,141,0.48226950354609927,0.5177304964539007
19:40:00,67,85,152,0.4407894736842105,0.5592105263157895
19:50:00,65,90,155,0.41935483870967744,0.5806451612903226
20:00:00,79,82,161,0.4906832298136646,0.5093167701863354
20:10:00,54,80,134,0.40298507462686567,0.5970149253731343
20:20:00,51,89,140,0.36428571428571427,0.6357142857142857
20:30:00,66,83,149,0.4429530201342282,0.5570469798657718
20:40:00,57,103,160,0.35625,0.64375
20:50:00,59,94,153,0.38562091503267976,0.6143790849673203
21:00:00,51,74,125,0.408,0.592
21:10:00,24,65,89,0.2696629213483146,0.7303370786516854
21:20:00,37,77,114,0.32456140350877194,0.6754385964912281
21:30:00,45,85,130,0.34615384615384615,0.6538461538461539
