time_value,tp_value
2015-09-22,7.533333333333333
2015-09-23,6.7333333333333325
2015-09-24,7.799999999999998
2015-09-25,6.733333333333333
2015-09-28,8.333333333333332
2015-09-29,8.733333333333333
2015-09-30,9.133333333333333
2015-10-01,8.333333333333336
2015-10-02,15.0
2015-10-05,7.800000000000001
2015-10-06,9.133333333333335
2015-10-07,7.533333333333333
2015-10-08,8.333333333333332
2015-10-09,10.200000000000001
2015-10-12,6.6000000000000005
2015-10-13,6.733333333333334
2015-10-14,6.7333333333333325
2015-10-15,6.199999999999999
2015-10-16,7.533333333333333
2015-10-19,7.533333333333333
2015-10-20,6.733333333333333
2015-10-21,6.199999999999999
2015-10-22,6.733333333333333
2015-10-23,7.133333333333331
2015-10-26,7.133333333333331
2015-10-27,7.533333333333333
2015-10-28,7.533333333333333
